Age_[ka],Sea_level_[m]
1847.01,-13.29
1848.40,-5.33
1849.66,-2.28
1850.72,-1.08
1851.73,-10.34
1852.74,-7.91
1853.80,-7.93
1854.86,-11.04
1855.92,-12.30
1856.98,-25.25
1858.04,-37.58
1859.20,-26.54
1860.53,-45.03
1862.04,-46.92
1863.62,-45.12
1865.21,-53.16
1866.80,-59.97
1868.39,-45.25
1869.97,-34.83
1871.56,-31.18
1873.15,-32.46
1874.79,-37.42
1876.56,-31.93
1878.32,-9.83
1880.26,-6.81
1882.06,-13.62
1883.85,-19.83
1885.64,-13.11
1887.43,-19.92
1889.21,-15.05
1891.01,-12.02
1892.92,-12.07
1896.74,-17.10
1898.64,-34.38
1900.97,-38.74
1903.35,-40.61
1905.74,-32.64
1908.12,-34.52
1910.44,-19.78
1912.53,-28.42
1915.09,-30.30
1917.41,-22.33
1919.52,-16.21
1921.37,-16.23
1923.28,-10.72
1925.22,-3.36
1927.15,-7.69
1932.95,-0.38
1934.71,-1.64
1936.89,3.87
1939.47,-1.08
1942.05,-38.04
1944.63,-42.99
1947.35,-27.03
1950.10,-26.45
1952.85,-28.95
1955.71,-29.60
1958.96,-22.87
1962.05,-32.14
1965.09,-29.10
1968.14,-28.53
1970.91,-19.33
1973.04,-17.52
1974.99,-0.93
1976.94,-1.57
1978.90,-13.90
1980.86,-3.47
1982.74,3.89
1984.62,-18.90
1986.50,-19.54
1988.39,-15.87
1990.27,-7.28
1992.15,-15.92
1994.04,-13.48
1995.92,-19.04
1997.80,-15.38
1999.72,-17.25
2001.73,-27.09
2003.14,-25.25
2004.22,-30.17
2005.60,-33.86
2006.97,-29.56
2008.14,-12.94
2008.99,-7.40
2010.99,-22.79
2013.56,-14.79
2016.86,-2.48
2018.90,-6.17
2021.17,7.36
2023.66,-6.17
2026.16,-14.17
2028.42,-9.25
2030.24,-19.10
2032.28,-10.48
2034.78,-32.63
2037.05,-11.10
2039.31,-40.63
2041.58,-8.64
2044.26,-16.63
2046.42,-33.86
2048.57,-28.94
2051.20,-33.86
2053.59,-48.63
2056.24,-25.86
2059.23,-32.02
2061.62,-34.48
2064.35,-28.94
2066.90,-46.17
2069.81,-60.32
2073.04,-59.09
2077.24,-28.94
2081.45,-47.40
2084.77,-47.40
2088.11,-28.33
2090.45,-21.56
2094.12,-0.02
2096.13,1.82
2097.87,-35.09
2100.06,-29.56
2102.24,-22.17
2105.15,-19.10
2108.28,-23.40
2111.69,-17.25
2115.43,-33.86
2119.22,-26.48
2122.92,-24.63
2126.62,-20.33
2130.32,-3.10
2134.03,-2.48
2137.73,-5.56
2141.43,-16.63
2144.28,-35.71
2146.57,-42.48
2148.42,-42.48
2150.47,-41.25
2152.53,-55.40
2154.58,-57.24
2156.63,-51.09
2158.69,-56.63
2160.74,-44.32
2162.80,-45.55
2164.85,-35.71
2166.91,-35.09
2168.97,-28.33
2170.96,-25.25
2173.62,-20.33
2176.28,-15.40
2178.94,-8.02
2181.88,-11.71
2184.47,-3.71
2186.69,-19.10
2189.14,-16.02
2191.14,-30.17
2193.42,-23.40
2195.99,-26.48
2198.56,-30.17
2201.14,-26.48
2203.69,-14.18
2206.63,-16.65
2209.62,1.18
2212.62,-6.82
2215.87,-4.98
2218.49,-8.07
2221.41,-11.77
2224.22,-10.54
2226.55,-13.01
2228.89,-13.63
2231.21,-4.41
2233.68,-6.88
2236.11,-27.80
2238.10,-49.34
2240.09,-45.04
2242.09,-40.74
2244.08,-41.36
2246.08,-24.75
2248.08,-19.84
2250.08,-11.23
2252.07,-15.54
2254.69,-7.55
2257.50,5.98
2260.61,4.13
2263.73,4.12
2266.85,-3.89
2269.65,-11.28
2273.08,-32.82
2276.09,-31.60
2278.58,-40.22
2281.07,-48.22
2283.82,-33.46
2286.07,-31.62
2288.48,-25.48
2290.86,-14.41
2293.25,-12.57
2295.64,3.42
2300.48,-5.82
2303.47,-4.00
2306.45,-6.48
2309.44,-23.73
2312.72,-24.99
2317.50,-29.33
2319.88,-18.89
2322.33,-12.14
2324.24,-3.54
2325.99,-9.10
2328.15,-6.65
2330.12,-2.36
2330.51,-14.05
2333.26,-4.23
2336.12,-13.48
2338.65,-15.96
2341.18,1.86
2343.71,12.30
2346.03,9.82
2348.21,-5.58
2351.10,-19.14
2353.48,-33.31
2356.12,-40.71
2358.75,-29.04
2361.13,-29.67
2363.75,-18.62
2366.13,-23.56
2368.51,-13.12
2370.63,-14.36
2372.98,-0.85
2375.09,-3.94
2377.63,10.81
2379.50,12.64
2381.38,11.39
2383.44,8.92
